farm,year,season,season1,point,point2,volveg,manejo,total
AV,1,spring,1,1AVC,1,0.08,2,1
AV,1,spring,1,12AVC,2,0.38,2,9
AV,1,spring,1,6AVC,3,0.24,2,50
AV,1,spring,1,4AVC,4,0.53,2,3
AV,1,spring,1,2AVC,5,0.08,2,1
AV,1,spring,1,7AVC,6,0.02,2,3
AV,1,spring,1,8AVC,7,0.06,2,14
AV,1,spring,1,10AVC,8,0.25,2,74
AV,1,spring,1,10AVO,9,0.9,1,208
AV,1,spring,1,5AVO,10,1.01,1,1134
AV,1,spring,1,1AVO,11,0.33,1,17
AV,1,spring,1,8AVO,12,0.76,1,42
AV,1,spring,1,7AVO,13,0.92,1,133
AV,1,spring,1,4AVO,14,0.06,1,23
AV,1,spring,1,9AVC,15,0.08,2,19
AV,1,spring,1,2AVO,16,0.47,1,94
AV,1,spring,1,6AVO,17,0.11,1,9
AV,2,spring,1,0AVC,18,0.1,2,41
AV,2,spring,1,3AVC,19,0.06,2,76
AV,2,spring,1,6AVC,20,0.07,2,24
AV,2,spring,1,7AVC,21,0.12,2,15
AV,2,spring,1,5AVC,22,0.08,2,44
AV,2,spring,1,11AVC,23,0.49,2,28
AV,2,spring,1,1AVC,24,0.06,2,6
AV,2,spring,1,4AVC,25,0.36,2,202
AV,2,spring,1,9AVC,26,0.17,2,26
AV,2,spring,1,3AVO,27,0.77,1,0
AV,2,spring,1,1AVO,28,1.28,1,144
AV,2,spring,1,2AVO,29,1.31,1,15
AV,2,spring,1,6AVO,30,0.74,1,109
AV,2,spring,1,4AVO,31,0.78,1,19
AV,2,spring,1,5AVO,32,0.32,1,48
AV,2,spring,1,7AVO,33,0.82,1,36
AV,2,spring,1,8AVO,34,0.95,1,162
CH,1,spring,1,7CH,47,0.15,2,23
CH,1,spring,1,6CH,48,0.29,2,172
CH,1,spring,1,5CH,49,0.07,2,252
CH,1,spring,1,1CH,50,0.11,2,173
CH,1,spring,1,20CH,51,0.15,2,93
CH,1,spring,1,8CH,52,0.06,2,194
CH,1,spring,1,9CH,53,0.05,2,13
CH,1,spring,1,11CH,54,0.42,2,1533
CH,1,spring,1,10CH,55,0.2,2,118
CH,1,spring,1,13CH,56,0.8,2,160
CH,1,spring,1,22CH,57,0.55,2,1681
CH,1,spring,1,21CH,58,0.45,2,277
CH,1,spring,1,23CH,59,0.07,2,28
CH,1,spring,1,2CH,60,0.1,2,147
CH,1,spring,1,4CH,61,0.1,2,68
CH,1,spring,1,3CH,62,0.33,2,72
CH,1,spring,1,18CH,63,1.28,2,0
CH,1,spring,1,19CH,64,0.89,2,334
CH,1,spring,1,17CH,65,0.14,2,13
CH,1,spring,1,16CH,66,0.27,2,390
CH,2,spring,1,2CH,67,0,2,10
CH,2,spring,1,28CH,68,1.1,2,145
CH,2,spring,1,23CH,69,0.4,2,93
CH,2,spring,1,11CH,70,0.17,2,68
CH,2,spring,1,29CH,71,0.37,2,234
CH,2,spring,1,15CH,72,0.13,2,40
CH,2,spring,1,20CH,73,0.39,2,397
CH,2,spring,1,8CH,74,0.02,2,9
CH,2,spring,1,24CH,75,0.07,2,7
CH,2,spring,1,16CH,76,0.88,2,110
CH,2,spring,1,10CH,77,0.28,2,120
CH,2,spring,1,0CH,78,0.53,2,246
CH,2,spring,1,1CH,79,0.48,2,317
CH,2,spring,1,3CH,80,0.25,2,34
CH,2,spring,1,6CH,81,0.62,2,192
CH,2,spring,1,25CH,82,0.3,2,96
CH,2,spring,1,4CH,83,0.05,2,94
CH,2,spring,1,19CH,84,0.47,2,496
CH,2,spring,1,9CH,85,0.24,2,414
CH,2,spring,1,5CH,86,0.45,2,36
DH,1,spring,1,34DH,93,0.14,1,106
DH,1,spring,1,43DH,94,1.12,1,93
DH,1,spring,1,6DH,95,0.21,1,113
DH,1,spring,1,12DH,96,0.3,1,91
DH,1,spring,1,7DH,97,0.58,1,602
DH,1,spring,1,39DH,98,0.67,1,188
DH,1,spring,1,2DH,99,0.53,1,680
DH,1,spring,1,55DH,100,0.43,1,2260
DH,1,spring,1,36DH,101,0.97,1,227
DH,1,spring,1,56DH,102,0.01,1,70
DH,1,spring,1,57DH,103,1,1,544
DH,1,spring,1,40DH,104,0.45,1,146
DH,1,spring,1,19DH,105,1.2,1,255
DH,1,spring,1,31DH,106,0.35,1,129
DH,1,spring,1,13DH,107,0.67,1,172
DH,1,spring,1,47DH,108,1.4,1,425
DH,1,spring,1,26DH,109,1.3,1,217
DH,1,spring,1,3DH,110,0.92,1,144
DH,1,spring,1,10DH,111,1.14,1,98
DH,1,spring,1,37DH,112,0.61,1,169
DH,2,spring,1,6DH,113,0.23,1,20
DH,2,spring,1,12DH,114,0.3,1,45
DH,2,spring,1,22DH,115,0.52,1,13
DH,2,spring,1,24DH,116,0.78,1,39
DH,2,spring,1,13DH,117,0.87,1,56
DH,2,spring,1,4DH,118,0.57,1,48
DH,2,spring,1,5DH,119,0.72,1,84
DH,2,spring,1,17DH,120,0.68,1,30
DH,2,spring,1,2DH,121,0.18,1,34
DH,2,spring,1,21DH,122,0.58,1,64
DH,2,spring,1,10DH,123,0.81,1,29
DH,2,spring,1,9DH,124,0.68,1,24
DH,2,spring,1,26DH,125,0.7,1,144
DH,2,spring,1,1DH,126,0.35,1,73
DH,2,spring,1,31DH,127,0.84,1,65
DH,2,spring,1,27DH,128,0.52,1,65
DH,2,spring,1,18DH,129,0.95,1,55
DH,2,spring,1,19DH,130,0.62,1,125
