,1,2,3
11,1,1,1
21,1,1,1
22,1,1,1
31,1,1,1
41,1,1,1
42,1,1,1
51,1,1,1
52,1,1,1
61,1,1,1
62,1,1,1
71,1,1,1
72,1,1,1
81,1,1,1
82,1,1,1
91,1,1,1
92,1,1,1
101,1,1,1
111,0,0,0
112,0,0,0
121,0,0,0
122,0,0,0
131,0,0,0
132,0,0,0
141,0,0,0
151,0,0,0
152,0,0,0
161,0,0,0
162,0,0,0
171,0,0,0
181,0,0,0
191,0,0,0
201,0,0,0
202,0,0,0
211,1,1,1
221,1,1,1
231,1,1,1
241,1,1,1
242,1,1,1
251,1,1,1
261,1,1,1
271,1,1,1
281,1,1,1
291,1,1,1
301,1,1,1
311,1,1,1
312,1,1,1
321,0,0,0
322,0,0,0
331,0,0,0
332,0,0,0
341,0,0,0
342,0,0,0
351,0,0,0
352,0,0,0
361,0,0,0
362,0,0,0
371,0,0,0
381,0,0,0
382,0,0,0
391,0,0,0
392,0,0,0
401,0,0,0
402,0,0,0
411,0,0,0
412,0,0,0
421,0,0,0
481,1,1,1
482,1,1,1
501,1,1,1
502,1,1,1
511,1,1,1
521,1,1,1
522,1,1,1
531,0,0,0
532,0,0,0
571,0,0,0
572,0,0,0
581,0,0,0
582,0,0,0
601,0,0,0
602,0,0,0
611,0,0,0
612,0,0,0
631,1,1,1
632,1,1,1
641,1,1,1
642,1,1,1
651,1,1,1
652,1,1,1
661,1,1,1
662,1,1,1
671,1,1,1
672,1,1,1
681,1,1,1
682,1,1,1
691,1,1,1
701,1,1,1
702,1,1,1
721,1,1,1
722,1,1,1
761,0,0,0
762,0,0,0
801,0,0,0
802,0,0,0
831,0,0,0
832,0,0,0
841,0,0,0
842,0,0,0
901,1,1,1
902,1,1,1
971,0,0,0
1001,0,0,0
1002,0,0,0
1011,0,0,0
1021,0,0,0
1022,0,0,0
1041,0,0,0
1042,0,0,0
1101,1,1,1
1141,1,1,1
1191,0,0,0
1192,0,0,0
1221,0,0,0
1251,0,0,0
1252,0,0,0
1522,1,1,1
1622,0,0,0
1722,1,1,1
1772,0,0,0
1902,1,1,1
1992,0,0,0
2122,1,1,1
2132,1,1,1
2332,1,1,1
