farm,farm1,year,temporada,point,point2,prim,ver,management,conv,org,volveg,abundtotal,abund
AV,1,1,spring,1AVC,1,1,0,C,1,0,0.08,1,1
AV,1,1,spring,12AVC,2,1,0,C,1,0,0.38,9,9
AV,1,1,spring,6AVC,3,1,0,C,1,0,0.24,50,49
AV,1,1,spring,4AVC,4,1,0,C,1,0,0.53,3,3
AV,1,1,spring,2AVC,5,1,0,C,1,0,0.08,1,1
AV,1,1,spring,7AVC,6,1,0,C,1,0,0.02,3,3
AV,1,1,spring,8AVC,7,1,0,C,1,0,0.06,14,14
AV,1,1,spring,10AVC,8,1,0,C,1,0,0.25,74,74
AV,1,1,spring,10AVO,9,1,0,O,0,1,0.9,208,206
AV,1,1,spring,5AVO,10,1,0,O,0,1,1.01,1134,1134
AV,1,1,spring,1AVO,11,1,0,O,0,1,0.33,17,17
AV,1,1,spring,8AVO,12,1,0,O,0,1,0.76,42,42
AV,1,1,spring,7AVO,13,1,0,O,0,1,0.92,133,133
AV,1,1,spring,4AVO,14,1,0,O,0,1,0.06,23,23
AV,1,1,spring,9AVC,15,1,0,C,1,0,0.08,19,19
AV,1,1,spring,2AVO,16,1,0,O,0,1,0.47,94,93
AV,1,1,summer,1AVC,209,0,1,C,1,0,0.49,11,11
AV,1,1,summer,12AVC,210,0,1,C,1,0,0.57,83,82
AV,1,1,summer,6AVC,211,0,1,C,1,0,0.35,33,32
AV,1,1,summer,4AVC,212,0,1,C,1,0,0.09,21,21
AV,1,1,summer,2AVC,213,0,1,C,1,0,0.64,28,25
AV,1,1,summer,7AVC,214,0,1,C,1,0,0.57,70,69
AV,1,1,summer,8AVC,215,0,1,C,1,0,0.38,56,53
AV,1,1,summer,10AVC,216,0,1,C,1,0,0.39,247,243
AV,1,1,summer,10AVO,217,0,1,O,0,1,0.93,53,43
AV,1,1,summer,5AVO,218,0,1,O,0,1,0.82,37,37
AV,1,1,summer,1AVO,219,0,1,O,0,1,0.11,47,46
AV,1,1,summer,8AVO,220,0,1,O,0,1,0.53,38,38
AV,1,1,summer,7AVO,221,0,1,O,0,1,0.98,39,39
AV,1,1,summer,4AVO,222,0,1,O,0,1,0.18,21,21
AV,1,1,summer,9AVC,223,0,1,C,1,0,0.23,32,32
AV,1,1,summer,2AVO,224,0,1,O,0,1,0.23,35,34
CH,2,1,spring,7CH,53,1,0,C,1,0,0.15,23,23
CH,2,1,spring,6CH,54,1,0,C,1,0,0.29,172,172
CH,2,1,spring,5CH,55,1,0,C,1,0,0.07,252,250
CH,2,1,spring,1CH,56,1,0,C,1,0,0.11,173,172
CH,2,1,spring,20CH,57,1,0,C,1,0,0.15,93,93
CH,2,1,spring,8CH,58,1,0,C,1,0,0.06,194,194
CH,2,1,spring,9CH,59,1,0,C,1,0,0.05,13,12
CH,2,1,spring,11CH,60,1,0,C,1,0,0.42,1533,1532
CH,2,1,spring,10CH,61,1,0,C,1,0,0.2,118,117
CH,2,1,spring,13CH,62,1,0,C,1,0,0.8,160,159
CH,2,1,spring,22CH,63,1,0,C,1,0,0.55,1681,1681
CH,2,1,spring,21CH,64,1,0,C,1,0,0.45,277,275
CH,2,1,spring,23CH,65,1,0,C,1,0,0.07,28,28
CH,2,1,spring,2CH,66,1,0,C,1,0,0.1,147,147
CH,2,1,spring,4CH,67,1,0,C,1,0,0.1,68,68
CH,2,1,spring,3CH,68,1,0,C,1,0,0.33,72,72
CH,2,1,summer,7CH,261,0,1,C,1,0,0.35,54,54
CH,2,1,summer,6CH,262,0,1,C,1,0,0.31,19,19
CH,2,1,summer,5CH,263,0,1,C,1,0,0.25,13,13
CH,2,1,summer,1CH,264,0,1,C,1,0,0.8,92,91
CH,2,1,summer,20CH,265,0,1,C,1,0,0.19,34,34
CH,2,1,summer,8CH,266,0,1,C,1,0,0.62,33,33
CH,2,1,summer,9CH,267,0,1,C,1,0,0.07,75,75
CH,2,1,summer,11CH,268,0,1,C,1,0,0.7,54,54
CH,2,1,summer,10CH,269,0,1,C,1,0,0.32,8,8
CH,2,1,summer,13CH,270,0,1,C,1,0,0.71,18,18
CH,2,1,summer,22CH,271,0,1,C,1,0,0.95,65,63
CH,2,1,summer,21CH,272,0,1,C,1,0,0.4,89,89
CH,2,1,summer,23CH,273,0,1,C,1,0,0.4,155,142
CH,2,1,summer,2CH,274,0,1,C,1,0,0.28,60,58
CH,2,1,summer,4CH,281,0,1,C,1,0,0.38,194,192
CH,2,1,summer,3CH,282,0,1,C,1,0,0.48,70,66
DH,3,1,spring,34DH,105,1,0,O,0,1,0.14,106,105
DH,3,1,spring,43DH,106,1,0,O,0,1,1.12,93,90
DH,3,1,spring,6DH,107,1,0,O,0,1,0.21,113,113
DH,3,1,spring,12DH,108,1,0,O,0,1,0.3,91,91
DH,3,1,spring,7DH,109,1,0,O,0,1,0.58,602,601
DH,3,1,spring,39DH,110,1,0,O,0,1,0.67,188,184
DH,3,1,spring,2DH,111,1,0,O,0,1,0.53,680,680
DH,3,1,spring,55DH,112,1,0,O,0,1,0.43,2260,2260
DH,3,1,spring,36DH,113,1,0,O,0,1,0.97,227,224
DH,3,1,spring,56DH,114,1,0,O,0,1,0.01,70,69
DH,3,1,spring,57DH,115,1,0,O,0,1,1,544,544
DH,3,1,spring,40DH,116,1,0,O,0,1,0.45,146,146
DH,3,1,spring,19DH,117,1,0,O,0,1,1.2,255,253
DH,3,1,spring,31DH,118,1,0,O,0,1,0.35,129,128
DH,3,1,spring,13DH,119,1,0,O,0,1,0.67,172,172
DH,3,1,spring,47DH,120,1,0,O,0,1,1.4,425,422
DH,3,1,summer,34DH,313,0,1,O,0,1,0.02,25,25
DH,3,1,summer,43DH,314,0,1,O,0,1,0.16,70,69
DH,3,1,summer,6DH,315,0,1,O,0,1,0.49,34,31
DH,3,1,summer,12DH,316,0,1,O,0,1,0.46,98,97
DH,3,1,summer,7DH,317,0,1,O,0,1,0.47,58,55
DH,3,1,summer,39DH,318,0,1,O,0,1,0.83,102,100
DH,3,1,summer,2DH,319,0,1,O,0,1,1.18,111,100
DH,3,1,summer,55DH,320,0,1,O,0,1,0.8,52,52
DH,3,1,summer,36DH,321,0,1,O,0,1,0.92,58,49
DH,3,1,summer,56DH,322,0,1,O,0,1,0.27,68,64
DH,3,1,summer,57DH,323,0,1,O,0,1,0.48,239,221
DH,3,1,summer,40DH,324,0,1,O,0,1,0.53,96,95
DH,3,1,summer,19DH,325,0,1,O,0,1,0.5,109,109
DH,3,1,summer,31DH,326,0,1,O,0,1,0.73,83,76
DH,3,1,summer,13DH,327,0,1,O,0,1,1.32,204,203
DH,3,1,summer,47DH,328,0,1,O,0,1,0.57,106,106
LG,4,1,spring,3LGO,157,1,0,O,0,1,0.98,1033,1033
LG,4,1,spring,8LGO,158,1,0,O,0,1,0.98,279,279
LG,4,1,spring,6LGO,159,1,0,O,0,1,0.69,123,122
LG,4,1,spring,1LGO,160,1,0,O,0,1,0.1,21,21
LG,4,1,spring,7LGO,161,1,0,O,0,1,1.16,63,63
LG,4,1,spring,4LGO,162,1,0,O,0,1,0.77,133,133
LG,4,1,spring,2LGO,163,1,0,O,0,1,0.3,68,66
LG,4,1,spring,5LGO,164,1,0,O,0,1,0.3,414,407
LG,4,1,spring,18LGC,165,1,0,C,1,0,0.18,75,75
LG,4,1,spring,2LGC,166,1,0,C,1,0,0.18,711,710
LG,4,1,spring,5LGC,167,1,0,C,1,0,0.35,282,280
LG,4,1,spring,23LGC,168,1,0,C,1,0,0.47,851,851
LG,4,1,spring,8LGC,169,1,0,C,1,0,0.07,104,104
LG,4,1,spring,3LGC,170,1,0,C,1,0,0.05,206,206
LG,4,1,spring,24LGC,171,1,0,C,1,0,0.63,309,309
LG,4,1,spring,26LGC,172,1,0,C,1,0,0.6,110,110
LG,4,1,summer,3LGO,365,0,1,O,0,1,1.35,114,111
LG,4,1,summer,8LGO,366,0,1,O,0,1,0.05,14,13
LG,4,1,summer,6LGO,367,0,1,O,0,1,0.75,85,84
LG,4,1,summer,1LGO,368,0,1,O,0,1,0.93,61,57
LG,4,1,summer,7LGO,369,0,1,O,0,1,1.12,29,29
LG,4,1,summer,4LGO,370,0,1,O,0,1,1.13,31,30
LG,4,1,summer,2LGO,371,0,1,O,0,1,0.92,58,56
LG,4,1,summer,5LGO,372,0,1,O,0,1,0.62,67,64
LG,4,1,summer,18LGC,373,0,1,C,1,0,0.45,57,56
LG,4,1,summer,2LGC,374,0,1,C,1,0,0.52,96,94
LG,4,1,summer,5LGC,375,0,1,C,1,0,0.8,79,78
LG,4,1,summer,23LGC,376,0,1,C,1,0,0.78,92,87
LG,4,1,summer,8LGC,377,0,1,C,1,0,0.15,63,61
LG,4,1,summer,3LGC,378,0,1,C,1,0,0.45,56,56
LG,4,1,summer,24LGC,379,0,1,C,1,0,0.83,45,43
LG,4,1,summer,26LGC,380,0,1,C,1,0,0.87,94,93
AV,1,2,spring,0AVC,27,1,0,C,1,0,0.1,41,41
AV,1,2,spring,3AVC,28,1,0,C,1,0,0.06,76,76
AV,1,2,spring,6AVC,29,1,0,C,1,0,0.07,24,24
AV,1,2,spring,7AVC,30,1,0,C,1,0,0.12,15,15
AV,1,2,spring,5AVC,31,1,0,C,1,0,0.08,44,43
AV,1,2,spring,11AVC,32,1,0,C,1,0,0.49,28,27
AV,1,2,spring,1AVC,33,1,0,C,1,0,0.06,6,6
AV,1,2,spring,4AVC,34,1,0,C,1,0,0.36,202,202
AV,1,2,spring,9AVC,35,1,0,C,1,0,0.17,26,26
AV,1,2,spring,3AVO,36,1,0,O,0,1,0.77,0,0
AV,1,2,spring,1AVO,37,1,0,O,0,1,1.28,144,144
AV,1,2,spring,2AVO,38,1,0,O,0,1,1.31,15,15
AV,1,2,spring,6AVO,39,1,0,O,0,1,0.74,109,109
AV,1,2,spring,4AVO,40,1,0,O,0,1,0.78,19,19
AV,1,2,spring,5AVO,41,1,0,O,0,1,0.32,48,48
AV,1,2,spring,7AVO,42,1,0,O,0,1,0.82,36,36
AV,1,2,summer,0AVC,235,0,1,C,1,0,0.29,11,11
AV,1,2,summer,3AVC,236,0,1,C,1,0,0.24,23,23
AV,1,2,summer,6AVC,237,0,1,C,1,0,0.59,75,73
AV,1,2,summer,7AVC,238,0,1,C,1,0,0.32,52,52
AV,1,2,summer,5AVC,239,0,1,C,1,0,0.15,29,29
AV,1,2,summer,11AVC,240,0,1,C,1,0,1.02,23,22
AV,1,2,summer,1AVC,241,0,1,C,1,0,0.18,11,11
AV,1,2,summer,4AVC,242,0,1,C,1,0,0.29,66,66
AV,1,2,summer,9AVC,243,0,1,C,1,0,0.17,16,16
AV,1,2,summer,3AVO,244,0,1,O,0,1,0.72,21,21
AV,1,2,summer,1AVO,245,0,1,O,0,1,1.3,124,123
AV,1,2,summer,2AVO,246,0,1,O,0,1,0.87,10,10
AV,1,2,summer,6AVO,247,0,1,O,0,1,1.02,27,25
AV,1,2,summer,4AVO,248,0,1,O,0,1,0.74,59,59
AV,1,2,summer,5AVO,249,0,1,O,0,1,0.23,14,14
AV,1,2,summer,7AVO,250,0,1,O,0,1,0.27,58,57
CH,2,2,spring,2CH,79,1,0,C,1,0,0,10,10
CH,2,2,spring,28CH,80,1,0,C,1,0,1.1,145,145
CH,2,2,spring,23CH,81,1,0,C,1,0,0.4,93,93
CH,2,2,spring,11CH,82,1,0,C,1,0,0.17,68,68
CH,2,2,spring,29CH,83,1,0,C,1,0,0.37,234,234
CH,2,2,spring,15CH,84,1,0,C,1,0,0.13,40,38
CH,2,2,spring,20CH,85,1,0,C,1,0,0.39,397,396
CH,2,2,spring,8CH,86,1,0,C,1,0,0.02,9,9
CH,2,2,spring,24CH,87,1,0,C,1,0,0.07,7,7
CH,2,2,spring,16CH,88,1,0,C,1,0,0.88,110,110
CH,2,2,spring,10CH,89,1,0,C,1,0,0.28,120,120
CH,2,2,spring,0CH,90,1,0,C,1,0,0.53,246,242
CH,2,2,spring,1CH,91,1,0,C,1,0,0.48,317,317
CH,2,2,spring,3CH,92,1,0,C,1,0,0.25,34,33
CH,2,2,spring,6CH,93,1,0,C,1,0,0.62,192,191
CH,2,2,spring,25CH,94,1,0,C,1,0,0.3,96,92
CH,2,2,summer,2CH,287,0,1,C,1,0,0.33,37,37
CH,2,2,summer,28CH,288,0,1,C,1,0,1.24,38,38
CH,2,2,summer,23CH,289,0,1,C,1,0,0.45,38,37
CH,2,2,summer,11CH,290,0,1,C,1,0,0.45,84,84
CH,2,2,summer,29CH,291,0,1,C,1,0,1.07,63,63
CH,2,2,summer,15CH,292,0,1,C,1,0,0.8,83,81
CH,2,2,summer,20CH,293,0,1,C,1,0,0.85,393,393
CH,2,2,summer,8CH,294,0,1,C,1,0,0.76,653,652
CH,2,2,summer,24CH,295,0,1,C,1,0,0.2,22,22
CH,2,2,summer,16CH,296,0,1,C,1,0,1.45,126,124
CH,2,2,summer,10CH,297,0,1,C,1,0,0.81,41,41
CH,2,2,summer,0CH,298,0,1,C,1,0,1.03,108,106
CH,2,2,summer,1CH,299,0,1,C,1,0,0.32,57,57
CH,2,2,summer,3CH,300,0,1,C,1,0,0.48,100,100
