linea,sp,season,1,2,3,4,J,y,is,natural,cultivo
1,4,1,1,0,0,0,4,1,1.119,1,
2,4,1,0,0,0,0,4,0,0.963,1,
3,4,1,0,0,1,1,4,2,0.518,,1
4,4,1,0,0,0,2,4,1,0.618,,1
5,4,1,1,2,1,2,4,4,0.645,,1
6,4,1,0,1,0,0,4,1,0.649,,1
7,4,1,0,0,0,0,4,0,0.841,1,
8,4,1,0,0,2,1,4,2,1.064,1,
9,4,1,0,1,0,0,4,1,0.538,,1
10,4,1,0,0,1,2,4,2,0.762,1,
11,4,1,0,0,0,1,4,1,0.547,1,
12,4,1,1,0,0,1,4,2,1.132,1,
13,4,1,1,0,0,0,4,1,0.462,,1
14,4,1,3,3,3,1,4,4,0.517,,1
15,4,1,0,0,0,0,4,0,1.186,1,
16,4,1,0,0,0,0,4,0,0.928,1,
17,4,1,1,0,0,0,4,1,1.205,1,
18,4,1,1,0,1,0,4,2,0.763,1,
19,4,1,0,0,0,0,4,0,1.622,1,
20,4,1,2,2,2,4,4,4,0.378,,1
21,4,1,0,0,0,0,4,0,0.516,,1
22,4,1,0,0,0,1,4,1,0.332,,1
23,4,1,2,2,1,3,4,4,1.32,1,
24,4,1,0,1,0,0,4,1,0.927,1,
25,4,1,2,0,1,1,4,3,1.222,1,
26,4,1,0,0,2,0,4,1,0.517,,1
27,4,1,1,1,0,0,4,2,0.361,,1
28,4,1,0,1,0,1,4,2,0.938,1,
29,4,1,1,0,1,1,4,3,0.289,,1
30,4,1,0,0,1,0,4,1,1.158,1,
31,4,1,0,0,0,0,4,0,0.412,,1
32,4,1,0,0,0,2,4,1,1.286,1,
33,4,1,0,0,0,0,4,0,1.009,1,
34,4,1,0,0,1,1,4,2,1.231,1,
35,4,1,0,0,1,0,4,1,1.2,1,
36,4,1,0,0,1,0,4,1,0.846,1,
37,4,1,3,2,0,0,4,2,0.639,,1
38,4,1,1,1,0,1,4,3,0.287,,1
39,4,1,1,0,0,0,4,1,0.414,,1
40,4,1,2,1,2,1,4,4,0.587,,1
41,4,1,1,2,2,1,4,4,0.738,,1
42,4,1,0,0,0,1,4,1,0.255,,1
43,4,1,0,0,0,0,4,0,1.455,1,
44,4,1,0,0,0,0,4,0,0.932,1,
45,4,1,0,0,0,0,4,0,1.333,1,
46,4,1,1,2,0,0,4,2,1.553,1,
47,4,1,0,0,0,0,4,0,1.322,1,
48,4,1,0,0,0,0,4,0,0.918,1,
49,4,1,5,2,2,1,4,4,1.461,1,
50,4,1,0,0,0,0,4,0,1.164,1,
1,4,2,0,0,0,1,4,1,1.119,1,
2,4,2,0,0,0,0,4,0,0.963,1,
3,4,2,0,0,0,0,4,0,0.518,,1
4,4,2,2,0,1,3,4,3,0.618,,1
5,4,2,3,4,0,2,4,3,0.645,,1
6,4,2,1,1,0,1,4,3,0.649,,1
7,4,2,0,0,0,0,4,0,0.841,1,
8,4,2,0,0,1,0,4,1,1.064,1,
9,4,2,0,0,1,0,4,1,0.538,,1
10,4,2,2,1,1,1,4,4,0.762,1,
11,4,2,0,0,0,0,4,0,0.547,1,
12,4,2,2,2,,,2,2,1.132,1,
13,4,2,2,2,2,1,4,4,0.462,,1
14,4,2,7,2,1,0,4,3,0.517,,1
15,4,2,1,0,0,1,4,2,1.186,1,
16,4,2,0,0,0,0,4,0,0.928,1,
17,4,2,1,1,,,2,2,1.205,1,
18,4,2,0,0,1,0,4,1,0.763,1,
19,4,2,1,1,0,1,4,3,1.622,1,
20,4,2,2,6,5,4,4,4,0.378,,1
21,4,2,1,0,1,0,4,2,0.516,,1
22,4,2,0,0,1,0,4,1,0.332,,1
23,4,2,0,0,0,0,4,0,1.32,1,
24,4,2,0,1,0,0,4,1,0.927,1,
25,4,2,0,0,0,0,4,0,1.222,1,
26,4,2,1,0,0,0,4,1,0.517,,1
27,4,2,2,0,1,1,4,3,0.361,,1
28,4,2,2,0,0,0,4,1,0.938,1,
29,4,2,1,0,1,0,4,2,0.289,,1
30,4,2,0,0,0,0,4,0,1.158,1,
31,4,2,1,0,2,1,4,3,0.412,,1
32,4,2,0,0,0,1,4,1,1.286,1,
33,4,2,1,1,0,0,4,2,1.009,1,
34,4,2,0,0,1,0,4,1,1.231,1,
35,4,2,1,0,0,0,4,1,1.2,1,
36,4,2,1,0,0,1,4,2,0.846,1,
37,4,2,0,3,1,0,4,2,0.639,,1
38,4,2,6,0,0,0,4,1,0.287,,1
39,4,2,0,0,0,0,4,0,0.414,,1
40,4,2,3,0,0,0,4,1,0.587,,1
41,4,2,2,1,0,1,4,3,0.738,,1
42,4,2,2,0,1,1,4,3,0.255,,1
43,4,2,0,0,0,0,4,0,1.455,1,
44,4,2,0,0,0,0,4,0,0.932,1,
45,4,2,0,0,0,0,4,0,1.333,1,
46,4,2,0,0,0,0,4,0,1.553,1,
47,4,2,0,0,0,0,4,0,1.322,1,
48,4,2,0,0,0,0,4,0,0.918,1,
49,4,2,4,1,4,4,4,4,1.461,1,
50,4,2,0,0,0,0,4,0,1.164,1,
