id,specid,latabb,engname,latname,body.length,body.mass,wing.span,coordx,coordy,elev,rlength,nsurvey,forest,count141,count142,count143,date141,date142,date143,dur141,dur142,dur143,obs14
1,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,922942,63276,450,6.4,3,3,0,0,0,21,52,70,215,220,240,386
2,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,928942,79276,450,5.5,3,21,0,0,0,26,47,59,195,175,185,147
3,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,928942,103276,1050,4.3,3,32,0,0,0,25,52,73,210,270,210,77
4,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,934942,95276,950,4.5,3,9,0,0,0,40,55,65,310,300,285,293
5,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,934942,111276,1150,5.4,3,35,0,0,0,16,38,62,240,240,210,77
6,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,946942,95276,550,3.6,3,2,0,0,0,52,61,69,180,145,140,361
7,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,946942,111276,750,3.9,3,6,0,0,0,18,40,60,180,195,180,77
8,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,952942,119276,650,6.1,3,60,0,0,0,17,39,61,195,225,210,77
9,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,958942,111276,550,5.8,3,5,0,0,0,18,45,59,190,180,205,179
10,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,958942,127276,550,4.5,3,13,0,0,0,25,50,76,195,203,215,165
11,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,958942,143276,1150,3.8,3,50,0,0,0,38,62,69,195,210,180,320
12,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,964942,103276,750,7.7,3,57,0,0,0,18,36,68,275,310,340,178
13,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,964942,135276,1250,1.9,3,84,0,0,0,35,55,69,135,150,150,149
14,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,970942,95276,750,7.9,3,15,0,0,0,19,35,66,220,290,325,178
15,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,970942,127276,450,4.4,3,17,0,0,0,18,44,62,200,205,200,176
16,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,970942,159276,1050,6,3,58,0,0,0,18,40,61,250,255,255,352
17,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,976942,119276,750,6.2,3,26,0,0,0,17,45,68,195,200,175,295
18,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,976942,151276,1250,6.1,3,32,0,0,0,36,56,76,260,305,230,375
19,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,982942,63276,1250,4.5,3,66,0,0,0,25,44,67,365,375,345,361
20,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,982942,79276,350,6.2,3,45,0,0,0,22,33,75,155,150,180,282
21,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,982942,95276,750,4.1,3,44,0,0,0,22,45,67,200,225,240,178
22,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,982942,111276,750,4.5,3,9,0,0,0,16,34,66,135,145,155,295
23,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,982942,127276,550,6.9,3,31,0,0,0,22,49,64,215,230,200,176
24,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,988942,71276,350,4.7,3,8,0,0,0,25,50,67,168,155,170,348
25,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,988942,87276,1350,3.7,3,78,0,0,0,34,61,75,160,205,205,124
26,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,988942,151276,550,5.7,3,37,0,0,0,17,49,63,240,285,300,153
27,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,988942,167276,1150,4,3,18,0,0,0,48,61,83,165,150,165,378
28,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,994942,63276,1450,6.6,3,54,0,0,0,49,71,79,255,255,255,77
29,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,994942,111276,950,4.3,3,6,0,0,0,15,35,67,105,135,120,295
30,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,994942,127276,650,4.7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,994942,143276,550,4.9,3,27,0,0,0,24,49,63,225,210,230,21
32,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,994942,191276,850,5.3,3,56,0,0,0,24,46,69,255,270,255,217
33,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,39276,1250,5.6,3,66,0,0,0,24,46,67,190,210,210,123
34,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,55276,450,6.7,3,5,0,0,0,21,49,69,290,240,280,367
35,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,87276,1250,4,3,51,0,0,0,35,47,88,245,245,245,354
36,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,103276,1150,5.1,3,43,0,0,0,23,40,62,255,250,225,363
37,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,119276,750,6.5,3,40,0,0,0,24,54,70,300,275,230,9
38,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,135276,550,5.2,3,5,0,0,0,21,41,62,130,145,140,249
39,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,151276,450,5.5,3,3,0,0,0,26,31,48,165,130,135,291
40,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,167276,1250,5.6,3,52,0,0,0,33,54,68,210,230,215,141
41,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,183276,950,4.5,3,38,0,0,0,16,48,72,240,230,210,303
42,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1000942,199276,550,3.9,3,49,0,0,0,15,42,58,220,215,185,361
43,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1006942,31276,1850,5.3,2,15,0,0,NA,71,80,NA,300,315,NA,361
44,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1006942,39276,1950,4.8,3,62,0,0,0,64,84,94,260,243,197,266
45,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1006942,63276,1050,3.6,3,82,0,0,0,25,50,81,212,225,220,354
46,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1006942,80276,2050,4.7,2,0,0,0,NA,68,75,NA,255,315,NA,286
47,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1006942,95276,1250,6,3,29,0,0,0,26,45,66,335,320,310,361
48,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1006942,175276,750,6.3,3,5,0,0,0,31,65,73,190,240,192,68
49,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,47276,2250,3.6,2,0,0,0,NA,48,90,NA,275,350,NA,354
50,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,55276,1750,4.1,3,58,0,0,0,46,65,76,150,135,220,74
51,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,71276,2250,4.1,2,0,0,0,NA,69,107,NA,145,150,NA,123
52,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,87276,1150,2.6,3,34,0,0,0,25,38,50,225,240,225,45
53,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,119276,1150,3.3,3,98,0,0,0,39,61,76,195,240,180,358
54,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,135276,650,4,3,33,0,0,0,19,40,55,145,190,235,122
55,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1012942,151276,550,6.9,3,53,0,0,0,25,36,52,195,200,245,278
56,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1018942,95276,1850,6.6,3,17,0,0,0,40,55,68,340,300,300,382
57,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1018942,127276,950,5.3,3,16,0,0,0,16,50,59,190,280,230,361
58,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1018942,159276,550,4.3,3,60,0,0,0,18,36,51,255,265,230,146
59,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1018942,191276,450,6.1,3,2,0,0,0,34,55,68,195,195,225,156
60,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,63276,1450,5.5,3,52,0,0,0,36,49,92,308,318,270,354
61,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,71276,850,6.9,3,58,0,0,0,15,39,71,215,285,260,51
62,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,87276,1450,6.4,3,50,0,0,0,34,40,61,280,290,270,45
63,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,103276,1850,4.5,2,12,0,0,NA,51,64,NA,195,195,NA,132
64,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,119276,1450,4.5,3,29,0,0,0,55,67,80,360,315,360,34
65,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,151276,550,4.9,3,16,0,0,0,24,40,54,200,190,200,27
66,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,167276,550,3.2,3,83,0,0,0,17,35,50,240,180,225,146
67,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1024942,199276,750,4,3,79,0,0,0,34,49,63,180,150,185,57
68,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1029942,48276,1750,6,3,51,0,0,0,47,67,81,295,320,300,116
69,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1030942,71276,650,6.5,3,8,0,0,0,15,38,64,180,180,180,51
70,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1030942,111276,950,4.2,3,45,0,0,0,25,58,81,240,285,270,95
71,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1030942,175276,550,6.3,3,5,0,0,0,18,34,55,179,175,179,138
72,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1030942,191276,750,4.8,3,64,0,0,0,36,47,62,210,220,215,210
73,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1030942,207276,350,3.4,3,14,0,0,0,15,41,55,235,230,265,174
74,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,55276,2750,1.9,2,0,0,0,NA,87,102,NA,165,150,NA,144
75,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,87276,2450,4.3,2,0,0,0,NA,83,94,NA,280,255,NA,24
76,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,119276,650,5.3,3,0,0,0,0,15,22,54,120,135,130,45
77,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,135276,650,5.3,3,30,0,0,0,22,40,63,270,270,270,10
78,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,151276,750,6.9,3,17,0,0,0,15,36,61,155,135,175,254
79,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,167276,450,4.6,3,65,0,0,0,23,44,64,225,255,225,95
80,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,199276,350,6.5,3,30,1,0,1,21,41,62,288,254,311,364
81,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1036942,215276,250,4.2,3,0,0,0,0,18,47,67,208,214,184,26
82,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1041942,110276,1950,6.2,2,5,0,0,NA,65,70,NA,345,300,NA,71
83,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1041942,192276,950,9,3,55,0,0,0,17,34,62,300,305,310,49
84,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,40276,2350,7.1,2,0,0,0,NA,74,96,NA,345,330,NA,148
85,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,63276,2650,2.3,2,0,0,0,NA,71,83,NA,135,120,NA,231
86,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,79276,2450,4.1,2,0,0,0,NA,70,106,NA,160,200,NA,369
87,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,95276,1350,5.8,3,66,0,0,0,31,49,76,255,265,305,113
88,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,127276,750,5.7,3,8,0,0,0,17,36,50,255,240,225,327
89,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,175276,450,7.6,3,75,0,0,0,26,48,69,300,330,320,245
90,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1042942,207276,450,8.4,3,68,0,0,0,26,40,62,210,240,215,18
91,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,39276,1950,4.6,3,72,0,0,0,54,60,76,210,240,210,374
92,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,71276,1550,5.3,3,95,0,0,0,36,50,64,265,295,260,287
93,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,79276,1850,5.7,3,57,0,0,0,38,59,80,245,290,280,234
94,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,103276,1250,4,3,64,0,0,0,35,48,64,300,300,305,327
95,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,119276,1350,4.9,3,44,0,0,0,40,51,69,275,255,230,360
96,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,135276,850,4.8,3,44,0,0,0,15,34,48,195,210,195,132
97,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,151276,750,5.6,3,34,0,0,0,18,33,68,225,225,240,232
98,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,167276,650,6.4,3,21,0,0,0,31,50,68,240,285,255,117
99,50,TACRUF,Little Grebe,Tachybaptus ruficollis,27,150,43,1048942,183276,450,5.9,3,23,0,0,0,18,40,68,105,135,145,143
