site,point,species,n.ind
Alamo,1,Zenaida auriculata,3
Alamo,1,Caracara plancus,1
Alamo,1,Mimus saturninus,1
Alamo,1,Myiopsitta monachus,3
Alamo,1,Troglodytes aedon,1
Alamo,1,Fluvicola pica,2
Alamo,1,Columbina talpacoti,3
Alamo,1,Herpetotheres cachinnans,1
Alamo,1,Campephilus leucopogon,2
Alamo,2,Suiriri suiriri,1
Alamo,2,Mimus saturninus,2
Alamo,2,Coryphospingus cucullatus,1
Alamo,2,Phacellodomus sibilatrix,2
Alamo,2,Saltator aurantiirostris,1
Alamo,2,Piranga flava,1
Alamo,2,Amazona aestiva,5
Alamo,2,Thectocercus acuticaudatus,5
Alamo,2,Drymornis bridgesii,1
Alamo,3,Falco femoralis,1
Alamo,3,Guira guira,5
Alamo,3,Troglodytes aedon,1
Alamo,3,Saltator aurantiirostris,1
Alamo,3,Melanerpes cactorum,1
Alamo,3,Furnarius cristatus,2
Alamo,3,Thectocercus acuticaudatus,9
Alamo,4,Zenaida auriculata,2
Alamo,4,Myiopsitta monachus,7
Alamo,4,Coryphospingus cucullatus,3
Alamo,4,Fluvicola pica,2
Alamo,4,Asthenes baeri,1
Alamo,4,Hylocharis chrysura,1
Alamo,4,Icterus pyrrhopterus,4
Alamo,4,Piranga flava,3
Alamo,4,Lepidocolaptes angustirostris,1
Alamo,4,Piculus chrysochloros,1
Alamo,4,Phacellodomus rufifrons,2
Alamo,4,Xiphocolaptes major,1
Alamo,5,Falco femoralis,2
Alamo,5,Patagioenas maculosa,2
Alamo,5,Rupornis magnirostris,1
Alamo,5,Saltatricula multicolor,1
Alamo,5,Zonotrichia capensis,2
Alamo,5,Stigmatura budytoides,5
Alamo,5,Piranga flava,2
Alamo,5,Taraba major,2
Alamo,6,Saltatricula multicolor,2
Alamo,6,Coryphospingus cucullatus,2
Alamo,6,Zonotrichia capensis,1
Alamo,6,Fluvicola pica,1
Alamo,6,Xolmis irupero,1
Alamo,6,Furnarius rufus,2
Alamo,6,Melanerpes cactorum,2
Alamo,6,Lepidocolaptes angustirostris,1
Alamo,6,Cyclarhis gujanensis,1
Andres,1,Zenaida auriculata,1
Andres,1,Columbina picui,2
Andres,1,Myiopsitta monachus,5
Andres,1,Fluvicola pica,6
Andres,1,Saltator aurantiirostris,1
Andres,1,Melanerpes cactorum,2
Andres,1,Amazona aestiva,4
Andres,1,Pipraeidea bonariensis,5
Andres,1,Ortalis canicollis,4
Andres,2,Myiopsitta monachus,4
Andres,2,Zonotrichia capensis,2
Andres,2,Fluvicola pica,3
Andres,2,Paroaria coronata,4
Andres,2,Saltator aurantiirostris,2
Andres,2,Melanerpes cactorum,2
Andres,2,Setophaga pitiayumi,2
Andres,2,Polioptila dumicola,5
Andres,2,Thectocercus acuticaudatus,14
Andres,2,Campylorhamphus trochilirostris,1
Andres,2,Euphonia chlorotica,1
Andres,3,Myiopsitta monachus,20
Andres,3,Coryphospingus cucullatus,3
Andres,3,Zonotrichia capensis,2
Andres,3,Fluvicola pica,4
Andres,3,Coryphistera alaudina,5
Andres,3,Asthenes baeri,2
Andres,3,Paroaria coronata,2
Andres,3,Lepidocolaptes angustirostris,1
Andres,3,Setophaga pitiayumi,2
Andres,3,Polioptila dumicola,4
Andres,3,Thectocercus acuticaudatus,50
Andres,3,Serpophaga nigricans,3
Andres,3,Taraba major,1
Andres,3,Pipraeidea bonariensis,2
Andres,3,Campylorhamphus trochilirostris,1
Andres,4,Zenaida auriculata,3
Andres,4,Caracara plancus,1
Andres,4,Myiopsitta monachus,28
Andres,4,Coryphospingus cucullatus,2
Andres,4,Fluvicola pica,3
Andres,4,Asthenes baeri,1
Andres,4,Cyclarhis gujanensis,1
Andres,4,Setophaga pitiayumi,2
Andres,4,Polioptila dumicola,3
Andres,4,Thectocercus acuticaudatus,33
Andres,4,Serpophaga nigricans,3
Andres,4,Pipraeidea bonariensis,5
Andres,5,Zenaida auriculata,2
Andres,5,Columbina picui,2
Andres,5,Guira guira,3
Andres,5,Myiopsitta monachus,17
Andres,5,Paroaria coronata,6
Andres,5,Melanerpes cactorum,1
